Title,Description,Aims,Learning outcome( Expecting outcome),Type label,Location,Organization,Year,SDGs related,Related to which discipline,Useful for which industries,Source,id
G&G 335 Physical Oceanography,"An introduction to ocean dynamics and physical processes controlling large-scale ocean circulation, the Gulf Stream, wind-driven waves, tsunamis, tides, coastal upwelling, and other phenomena. Modern observational, theoretical, and numerical techniques used to study the ocean. The ocean's role in climate and global climate change.",　,　,UnderPostgraduate course,United States,Yale University,2019,13,Natural and Physical Sciences,"Agriculture, forestry and fishing",https://courses.yale.edu/?details&srcdb=201903&crn=12875,1279
G&G 535 Physical Oceanography,"An introduction to ocean dynamics and physical processes controlling the large-scale ocean circulation, ocean stratification, the Gulf Stream, wind-driven waves, tides, tsunamis, coastal upwelling, and other oceanic phenomena. Equations of motion. Modern observational, theoretical, and numerous other techniques used to study the ocean. The ocean role in climate and global climate change.",　,　,Postgraduate course,United States,Yale University,2019,13,Natural and Physical Sciences,"Agriculture, forestry and fishing",https://courses.yale.edu/?details&srcdb=201903&crn=12876,1280
MCDB 380 Advances in Plant Molecular Biology,"The study of basic processes in plant growth and development to provide a foundation for addressing critical agricultural needs in response to a changing climate. Topics include the latest breakthroughs in plant sciences with emphasis on molecular, cellular, and developmental biology; biotic and abiotic plant interactions; development, genomics, proteomics, epigenetics and chemical biology in the context of plant biology; and the current societal debates about agrobiotechnology. ",　,　,UnderPostgraduate course,United States,Yale University,2021,"2, 9, 13, 15",Natural and Physical Sciences,"Agriculture, forestry and fishing",https://courses.yale.edu/?details&srcdb=202103&crn=10572,1281
ENGL 027 Poetry and Protest in America,"Survey of poetry’s work within social movements form the 1960s to today. Readings range from the Civil Rights, Third World, and Women’s Liberation movements of the 1960s, ‘70s, and ‘80s to more recent writing from Black Lives Matter, Idle No More, and climate change activists. What radical thinking does poetry make possible within activist contexts? How can we recover and engage in poetry’s life off of the page and within workshops, sit-ins, public readings, or artistic collaborations? How might a longer timeline of activist work enrich our understanding of politically-informed poetic composition today? ",　,　,UnderPostgraduate course,United States,Yale University,2019,"5, 10",Creative Arts,Arts and recreation services,https://courses.yale.edu/?details&srcdb=201903&crn=12857,1282
GLBL 366 Politics of Global Health,"Interest in and attention to global health has expanded considerably in recent years. Public and private sector investments in solving global health challenges are increasing. Many of the challenges to solving global health problems though are not only in the resources required to close existing gaps. Politics, policy and power are dominant in the global health sphere. Understanding these dynamics is essential to helping to tackle the world’s greatest global health challenges. This course examines the intricate and diverse politics of global health and how they shape our inclination, ability, and direction of response to global health challenges. We explore the historical and current day power dynamics affecting health burdens, and which actually have effects on the health system’s ability to care for a population. We explore the principle actors in the global health space, and how they are governed. Discussions also consider how health intersects with economics, national security, the law and regulation, climate change and conflict. Finally we explore the power dynamics within “ourselves” and how health is valued on a personal level through examination of specific countries health systems; we explore how countries have embraced health as a right (or not)  and designed their health systems to care for their complete populations (or not).",　,　,UnderPostgraduate course,United States,Yale University,2020,3,Health,Health care and social assistance,https://courses.yale.edu/?details&srcdb=202003&crn=15459,1283
AFST 295 Postcolonial Ecologies,"This seminar examines the intersections of postcolonialism and ecocriticism as well as the tensions between these conceptual nodes, with readings drawn from across the global South. Topics of discussion include colonialism, development, resource extraction, globalization, ecological degradation, nonhuman agency, and indigenous cosmologies. The course is concerned with the narrative strategies affording the illumination of environmental ideas. We begin by engaging with the questions of postcolonial and world literature and return to these throughout the semester as we read the primary texts, drawn from Africa, the Caribbean, and Asia. We consider African ecologies in their complexity from colonial through post-colonial times. In the unit on the Caribbean, we take up the transformations of the landscape from slavery, through colonialism, and the contemporary era. Turning to Asian spaces, the seminar explores changes brought about by modernity and globalization as well as the effects on both humans and nonhumans. Readings include the writings of Zakes Mda, Aminatta Forna, Helon Habila, Derek Walcott, Jamaica Kincaid, Ishimure Michiko, and Amitav Ghosh. ",　,　,UnderPostgraduate course,United States,Yale University,2021,"13, 14, 15",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202103&crn=11801,1284
ECON 680 Public Finance I,"Major topics in public finance including externalities, public goods, benefit/cost analysis, fiscal federalism, social insurance, retirement savings, poverty and inequality, taxation, and others. Applications are provided to crime, education, environment and energy, health and health insurance, housing, and other markets and domains. The course covers a variety of applied methods including sufficient statistics, randomized control trials, hedonic models, regression discontinuity, discrete choice, spatial equilibrium, dynamic growth models, differences-in-differences, integrated assessment models, applied general equilibrium, event studies, firm production functions, learning models, general method of moments, and propensity-score reweighting estimators.",　,　,Postgraduate course,United States,Yale University,2021,"1, 5, 8, 10",Humanities and Law,Financial and insurance services,https://courses.yale.edu/?details&srcdb=202103&crn=12686,1285
GLBL 588 Public Order of the World Community: A Contemporary International Law,"This introduction to contemporary international law studies the role of authority in the decision-making processes of the world community, at the constitutive level where international law is made and applied and where the indispensable institutions for making decisions are established and maintained, as well as in the various sectors of the public order that is established. Consideration is given to formal as well as operational prescriptions and practice with regard to the participants in this system (states, intergovernmental and nongovernmental organizations, political parties, pressure groups, multinational enterprises, other private associations, private armies and gangs, and individuals); the formal and informal arenas of interaction; the allocation of control over and regulation of the resources of the planet; the protection of people and the regulation of nationality; and the allocation among states of jurisdiction to make and apply law. In contrast to more traditional approaches, which try to ignore the role of power in this system, that role will be candidly acknowledged, and the problems and opportunities it presents will be explored. Special attention is given to (1) theory; (2) the establishment, transformation, and termination of actors; (3) control of access to and regulation of resources, including environmental prescriptions; (4) nationality and human rights; and (5) the regulation of armed conflict. Scheduled examination or paper option.",　,　,Postgraduate course,United States,Yale University,2021,"10, 11, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202103&crn=13515,1286
F&ES 692 Science and Practice of Temperate Agroforestry,"This course explores the science and practices of temperate agroforestry, covering current knowledge of agroforestry science and shedding light on the myths and assumptions that have yet to be tested regarding the integration of trees in agricultural systems. The course begins with an overview of modern agriculture to help us better understand why agroforestry systems have potential to improve the sustainability of farming systems. We also cover the social science regarding agroforestry and why it has not been widely adopted. Silvopasture and forest farming systems are the primary focus, but windbreaks, alley cropping, and riparian forest buffers are also covered. The field of agroforestry has struggled with the promotion of hypothetical practices; this course introduces students to real-world production agroforestry systems and helps them better contribute to financially viable and environmentally sound agricultural operations.",　,　,Postgraduate course,United States,Yale University,2019,"13, 15",Natural and Physical Sciences,"Agriculture, forestry and fishing",https://courses.yale.edu/?details&srcdb=201903&crn=13712,1287
APHY 050 Science of Modern Technology and Public Policy,"Examination of the science behind selected advances in modern technology and implications for public policy, with focus on the scientific and contextual basis of each advance. Topics are developed by the participants with the instructor and with guest lecturers, and may include nanotechnology, quantum computation and cryptography, renewable energy technologies, optical systems for communication and medical diagnostics, transistors, satellite imaging and global positioning systems, large-scale immunization, and DNA made to order.",　,　,UnderPostgraduate course,United States,Yale University,2022,"3, 9",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202203&crn=11390,1288
F&ES 805 Seminar on Environmental and Natural Resource Economics,"This seminar is based on outside speakers and internal student/faculty presentations oriented toward original research in the field of environmental and natural resource economics and policy. Presentations are aimed at the doctoral level, but interested master’s students may enroll with permission of the instructors.",　,　,Postgraduate course,United States,Yale University,2019,"8, 14, 15",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=13736,1289
F&ES 835 Seminar on Land Use Planning,"Land use control exercised by state and local governments determines where development occurs on the American landscape, the preservation of natural resources, the emission of greenhouse gases, the conservation of energy, and the shape and livability of cities and towns. The exercise of legal authority to plan and regulate the development and conservation of privately owned land plays a key role in meeting the needs of the nation’s growing population for housing and nonresidential development and in ensuring that critical environmental functions are protected from the adverse impacts of land development. This course explores the multifaceted discipline of land use and urban planning and their associated ecological implications. Numerous land use strategies are discussed, such as consensus building, resiliency planning, and proper renewable energy siting, that provide practical tools for professionals to use to create sustainable buildings, neighborhoods, and communities. The focus of this seminar is to expose students to the basics of land use and urban planning in the United States and to serve as an introduction for the F&ES curricular concentration in land use. Guest speakers are professionals involved in sustainable development, land conservation, smart growth, renewable energy, and climate change management. Classes include discussions on the trajectory for professional careers.",　,　,Postgraduate course,United States,Yale University,2019,"11, 13",Architecture and Building,Construction,https://courses.yale.edu/?details&srcdb=201903&crn=13745,1290
ANTH 244 Social Change in Contemporary Southeast Asia,"This course examines a number of significant forms of social change occurring in Southeast Asia in recent years. Fueled by new digital technologies; environmental change; globalized economies, politics, human rights, and religion—Southeast Asia is experiencing a rapid transformation. Some of these changes are visible such as the ubiquitous use of mobile phones, transformed city skylines, rampant deforestation, and changing infrastructure. However, some are less visible such as the forced evacuations of the poor from urban centers, increasing state surveillance, and new forms of relationships between people and places enabled through digital communications. Topics include migration, politics and political activism, urban development, environmentalism, labor, violence, religion, popular culture, gender, and relationships. Principle readings include key works from a range of disciplines and represent a number of Southeast Asian nations. The course includes a visual component through a number of in class film screenings. ",　,　,UnderPostgraduate course,United States,Yale University,2020,"5, 10, 11, 13, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202003&crn=11585,1291
F&ES 980 Social Justice in the Global Food System Capstone,"This course explores social justice dimensions of today’s globalized food system, considering justice in terms of sociopolitical and environmental dynamics. We connect theory and practice through work with community-based organizations working at the nexus of food, agriculture, and social justice. The capstone project work is grounded in food and social justice concepts examined through course materials and seminar discussions. We examine how governmental environmental strategies affect social equity in the food system at multiple scales. We discuss how land grabbing or food insecurity is connected to relative power on the global stage. We consider how phenomena such as structural violence and neoliberalization surface within the food system, and what this means for sustainability and justice—in urban and rural settings. We examine and debate concepts and practices including food sovereignty, agroecology, black agrarianism, and the right to food used to advance positive change. Through the capstone project, students have the opportunity to deepen learning and contribute to the work of community groups forging pathways for equity and justice in the food system, particularly among communities historically marginalized from mainstream economies and policy making. Project work includes meetings with organizational leaders to understand context and co-develop appropriate project approaches. Students work in groups to conduct in-depth research and analysis, and engage in additional professional and educational activities connected to the project. Student groups prepare a final presentation and report to be shared with the partner organizations. The course provides opportunities to develop competencies in analyzing global food system phenomena through social justice frameworks, and working within diverse settings on food and social justice issues, as practice for management, policy making, and other professional roles.",　,　,Postgraduate course,United States,Yale University,2019,"2, 10, 16, 17",Humanities and Law,Manufacturing,https://courses.yale.edu/?details&srcdb=201903&crn=13810,1292
"ANTH 581 Power, Knowledge, and the Environment: Social Science Theory and Method","Course on the social scientific contributions to environmental and natural resource issues, emphasizing equity, politics, and knowledge. Section I, introduction to the course. Section II, disaster and environmental perturbation: the social science of emerging diseases; and the social origins of disaster. Section III, boundaries: cost and benefit in the Green Revolution; riverine restoration; and aspirational infrastructure. Section IV, methods: working within development projects, and rapid appraisal and consultancies. Section V, local communities, resources, and (under)development: representing the poor, development discourse, and indigenous peoples and knowledge. This is a core M.E.M. specialization course in YSE and a core course in the combined YSE/Anthropology doctoral degree program. Enrollment capped.",　,　,Postgraduate course,United States,Yale University,2022,"1, 3, 4, 5, 10, 11",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202203&crn=11259,1293
F&ES 831 Society and Natural Resources,"This research seminar explores the relationship between society and natural resources in a genuinely interdisciplinary manner (explicit, systematic, contextual, using a comprehensive meta-framework). This fall’s session is a “reflexive conversation” about the problematic situation in which we all now find ourselves. We live in a time of growing uncertainty and mounting problems. This situation can be best understood as constituting a “reflexive moment.” The reflexive moment encourages a reconsideration of past developments and future possibilities (personal to global). We want to find the best way to understand ourselves (personally and professionally) in the current and foreseeable problematic situation (local to global, immediate to multi-decade). We should never forget that we share the planet with millions of other forms of life. We want to find ways to mobilize our knowledge and practice to help fellow humans live fulfilling lives (justice) and address real-world challenges on varying scales (environmental health). The question before us: Can we come to some clarity about this reflexive moment, our growing problems (environmental and social), and the myriad relationships involved? We discuss these and many other matters, seeking clarity, a foundation, and direction for ourselves, work, and lives. Active participation, reading, discussion, lectures, guests, and projects make up the seminar.",　,　,Postgraduate course,United States,Yale University,2019,"13, 14, 15, 17",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=14163,1294
"EVST 292 Sustainability: Environment, Energy, and the Economy in the 21st Century","Sustainability as a guiding concept for addressing twenty-first century tensions between economic, environmental, and social progress. Using a cross-disciplinary set of materials from the “sustainability canon,” students explore the interlocking challenges of providing abundant energy, reducing pollution, addressing climate change, conserving natural resources, and mitigating the other impacts of economic development.",　,　,UnderPostgraduate course,United States,Yale University,2021,"7, 8, 11, 13, 14, 15",Environmental and Related Studies,Public administration and safety,https://courses.yale.edu/?details&srcdb=202103&crn=11713,1295
EVST 020 Sustainable Development in Haiti,"The principles and practice of sustainable development explored in the context of Haiti's rich history and culture, as well as its current environmental and economic impoverishment.",　,　,UnderPostgraduate course,United States,Yale University,2021,"8, 13",Environmental and Related Studies,"Electricity, gas, water and waste services",https://courses.yale.edu/?details&srcdb=202103&crn=11706,1296
ARCH 4213 The City and Carbon Modernity,"Humanity has moved through three energy paradigms, each of which has produced different built environments and social organizations. At each transition—from nomadic to agricultural and from agricultural to industrial—the productive capacity of human society was transformed, restructuring the existing social order and engendering a corresponding spatial and architectural paradigm. This course studies our current energy paradigm—carbon-intensive fossil fuels—as a driver of urban and architectural form. Rather than studying the technical aspects of energy, however, the course focuses on the social and spatial organizations that arise and are dependent on dense and abundant energy, identifying these as carbon form. Despite increasing awareness of environmental issues, architects continue to replicate carbon form, preventing a transition out of our current energy paradigm. Just as the modern movement proposed a new organization for the city based on the realities of industry, this moment demands new organizations that can respond to an urban system that the climate crisis has shown to be obsolete. Unlike in modernism, however, the energy transition to which we must respond has not yet occurred. And yet, architecture must still declare the death of carbon modernity and seek the means to overcome its material and cultural legacy. In this light, the course interrogates the foundations of contemporary human organization in order to lay new foundations for the oncoming transitions in energy and social form. Students study the theoretical roots of carbon form in the works of Le Corbusier, Hilberseimer, Koolhaas, and others, and speculate on new human settlement patterns by examining the relationship between the energy grid and the urban grid, i.e., between energy and urban form. Assignments include readings, reading responses, as well as drawings at the midterm and final. Limited enrollment.",　,　,Postgraduate course,United States,Yale University,2022,"7, 9, 11, 13",Architecture and Building,"Electricity, gas, water and waste services",https://courses.yale.edu/?details&srcdb=202103&crn=13287,1297
AMST 479 The Displaced: Migrant and Refugee Narratives of the 20th and 21st Centuries,"This course examines a series of transnational literary texts and films that illuminate how the displaced—migrants, exiles, and refugees— remake home away from their native countries. The twentieth and twenty-first centuries have produced massive displacements due to wars, genocides, racial, ethnic and religious conflicts, economic and climate change, among other factors. Our course focuses on several texts that explore questions of home, nation, and self in the context of specific historical events such as the Holocaust, civil rights movements in the U.S., internment, the Indian partition, African decolonization, and Middle Eastern/Arab ethno-religious conflicts and wars. We examine these events alongside the shifting legal and political policies and categories related to asylum, humanitarian parole, refugee, and illegal alien status. Exploring themes such as nostalgia, longing, trauma, and memory, we look at the possibilities and limitations of creating, contesting, and imagining home in the diaspora. Our objective is to debate and develop the ethical, political, geographic, and imaginative articulations of home in an era of mass displacements and geo-political crises. We examine how notions of home are imagined alongside and against categories of race, gender, and sexuality.",　,　,UnderPostgraduate course,United States,Yale University,2022,"5, 8, 10, 11, 13, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202203&crn=10772,1298
E&EB 035 The Ecology of Food,"Food and ecology are inextricably linked, both in the production of domesticated food through agriculture and livestock, and in the harvesting of wild plants and animals.  Furthermore, the production and consumption of food has downstream consequences through energy consumption, food waste, trophic interactions and the transportation of food around the globe. These topics link to many of the fundamental concepts of ecology, including population biology, the niche, trophic interactions, nitrogen cycling and the effects on biodiversity. In this class we explore each of these topics intensively through a combination of lectures, readings and interactive field trips to on/near campus ecosystems, the Marsh Botanical Gardens and the Yale Sustainable Farm. Each week, we meet twice for 50 minutes for a combination of lecture and discussion (online – ZOOM), and for 110 minutes for field trips, discussions, and guest lectures.  Discussions and guest lectures are generally online (ZOOM). If conditions permit, we will visit several locations on campus: Yale’s, botanical gardens, the Yale Experimental Watershed, and the Yale Sustainable Farm. All are accessible by walking on/from campus.",　,　,UnderPostgraduate course,United States,Yale University,2020,"2, 12, 13, 14, 15",Natural and Physical Sciences,Manufacturing,https://courses.yale.edu/?details&srcdb=202003&crn=13936,1299
EVST 007 The New England Forest,"Exploration of the natural history of southern New England, with specific focus on areas in and around New Haven. Pertinent environmental issues, such as climate change, endangered species, and the role of glacial and human history in shaping vegetative patterns and processes, are approached from a multi-disciplinary framework and within the context of the surrounding landscape. ",　,　,UnderPostgraduate course,United States,Yale University,2019,"13, 14, 15",Environmental and Related Studies,"Agriculture, forestry and fishing",https://courses.yale.edu/?details&srcdb=201903&crn=12871,1300
MCDB 065 The Science and Politics of HIV/AIDS,"Study of the basic virology and immunology of HIV/AIDS, along with its extraordinary historical and social effects. Issues include the threat of new epidemics emerging from a changing global environment; the potential harm of conspiracy theories based on false science; and how stigmas associated with poverty, gender inequality, sexual preference, and race facilitate an ongoing epidemic. For all first-year students regardless of whether they are considering a science major.",　,　,UnderPostgraduate course,United States,Yale University,2022,"1, 3, 5, 10, 11",Health,Health care and social assistance,https://courses.yale.edu/?details&srcdb=202203&crn=10954,1301
F&ES 522 Topics in Community Engagement,"This basic knowledge course is designed to introduce students to a range of sociocultural and political factors that drive the actions of individuals and communities surrounding natural resource management. In Part 1, Introduction to Social Science and Conservation, we explore basic questions such as: What is knowledge? What is nature? Students are introduced to the many disciplines that intersect environmental problems, and specific attention is placed on the field of political ecology. In Part 2, Justice and Indigenous Peoples, we learn the basic concepts of “justice” and discuss the ways in which climate change can be seen as a justice issue. We also explore the thorny issues of integrating local knowledge with scientific knowledge. In Part 3, Environmental Governance, we explore the role of the state and markets in shaping natural resource use. Concepts like property rights, the commons, and decentralization are introduced. Finally, in Part 4, Pulling It Together: Working with Communities, we discuss basic approaches to community-based, participatory research and how to integrate culture and livelihoods into conservation.",　,　,Postgraduate course,United States,Yale University,2019,"11, 13, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=13531,1302
ANTH 963 Topics in the Environmental Humanities,"This is the required workshop for the Graduate Certificate in Environmental Humanities. The workshop meets six times per term to explore concepts, methods, and pedagogy in the environmental humanities, and to share student and faculty research. Each student pursuing the Graduate Certificate in Environmental Humanities must complete both a fall term and a spring term of the workshop, but the two terms of student participation need not be consecutive. The fall term each year emphasizes key concepts and major intellectual currents. The spring term each year emphasizes pedagogy, methods, and public practice. Specific topics vary each year. Students who have previously enrolled in the course may audit the course in a subsequent year.",　,　,Postgraduate course,United States,Yale University,2021,"11, 13",Humanities and Law,Professional services,https://courses.yale.edu/?details&srcdb=202103&crn=10510,1303
HIST 108J Infrastructure and Ecosystems in Modern US History: Toward a Green New Deal,"This course covers United States history from the colonial period to the present through the lens of infrastructure and the environment. Settlement, development, and maintenance of large technical systems which undergird the U.S. political economy and utilize natural resources. Topics include the foundations of territory and property law; the advent of the Post Office; enslaved labor and plantation agriculture; energy production, distribution, and consumption; issues related to nutrition and public health; and the rise of the surveillance state alongside U.S. global imperialism.",　,　,UnderPostgraduate course,United States,Yale University,2022,"3, 7, 12, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202203&crn=13417,1304
WGSS 396 Trans Histories of North America,"Students trace histories of gender variance from the early colonial period through the early 21st century, primarily in the parts of the Americas that have become the United States, in relation to such topics as settler-colonialism, two-spirit survivance, indentured labor and slavery, environmental history, changing definitions of citizenship in the early republic, sex/race segregation in the built environment, sexology/eugenics/scientific racism, theories of psycho-somatic plasticity, Post-WWII identity politics, and postmodern figurations of gendered embodiment. ",　,　,UnderPostgraduate course,United States,Yale University,2019,"3, 5, 10, 11, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=14282,1305
PLSC 178 U.S.–Mexico Relations,"Introduction to U.S.–Mexico relations. Historical background on the bilateral relationship. Discussion of contemporary political issues, including trade, border security, the drug war, migration, agriculture, environmental issues, and energy policy.",　,　,UnderPostgraduate course,United States,Yale University,2019,"1, 2, 7, 8, 10, 13, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=11578,1306
ARCH 362 Urban Lab: City Making,"How architects represent, analyze, construct, and speculate on critical urban conditions as distinct approaches to city making. Investigation of a case study analyzing urban morphologies and the spatial systems of a city through diverse means of representation that address historical, social, political, and environmental issues. Through maps, diagrams, collages and text, students learn to understand spatial problems and project urban interventions.",　,　,UnderPostgraduate course,United States,Yale University,2021,11,Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202103&crn=10122,1307
F&ES 573 Urban Ecology for Local and Regional Decision-Making,"Urban ecology is the interdisciplinary study of urban and urbanizing systems from local to global scales. While urban ecology shares many features with the biological science of ecology, it emphasizes linkages with social, economic, and physical sciences and the humanities. Geographically, the subject includes central and edge cities, suburbs of various ages and densities, and exurban settlements in which urban lifestyles and economic commitments are dominant. In application, urban ecology can be useful as a social-ecological science for making cities more sustainable, resilient, and equitable. Emerging “grand challenges” in urban ecology include the development of robust approaches and understanding of (1) integrated social-ecological systems in urban and urbanizing environments; (2) the assembly and function of novel ecological communities and ecosystems under novel environmental conditions; (3) drivers of human well-being in diverse urban areas; (4) pathways for developing healthy, sustainable, and disaster-resilient cities; and (5) co-production of actionable science for policy, planning, design, and management.",　,　,Postgraduate course,United States,Yale University,2019,11,Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=13644,1308
"F&ES 645 Urbanization, Global Change, and Sustainability","Urbanization and associated changes in human activities on the land (land use) and in the physical attributes of Earth’s surface (land cover) have profound environmental consequences. Aggregated globally, these effects constitute some of the most significant human impacts on the functioning of Earth as a system. This class examines the interactions and relationships between urbanization and global change at local, regional, and global scales with an emphasis on the biophysical aspects of urbanization. Topics include urbanization in the context of global land use change, habitat and biodiversity loss, modification of surface energy balance and the urban heat island, climate change and impacts on urban areas, urban biogeochemistry, and urbanization as a component of sustainability. Emphasis is on management of urban areas worldwide or at national scales for planetary sustainability.",　,　,Postgraduate course,United States,Yale University,2019,11,Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=13649,1309
"F&ES 817 Urban, Suburban, and Regional Planning Practice","Our cities, towns, and regions represent the cumulative impact of planning policies implemented at multiple scales over the past century. This course explores the dynamic trends facing the United States and its communities and the evolution in planning practice that is occurring at the local and regional scale to address them. It looks at both suburban and urban approaches. The recent deep recession, climate change, and a lack of social cohesion call for a new triple bottom-line approach to decision-making for our future. Existing policies and governance structures are not always well suited for the new challenges and opportunities that we face. Local, state, and the national government are, to varying degrees, crafting new solutions to the challenges of urban and suburban America.",　,　,Postgraduate course,United States,Yale University,2019,11,Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=201903&crn=13739,1310
CENG 377 Water-Energy Nexus,"This course explores processes and technologies at the water-energy nexus. We utilize chemical and environmental engineering fundamentals to explore the links between maintaining clean water supply and energy security globally, as well as implications for environmental contamination and climate change. We develop a quantitative understanding of water chemistry and energy considerations for topics including traditional water and wastewater treatment, energy recovery from wastewater, membrane processes, water electrolysis for energy storage and electrochemical contaminant conversion, industrial water consumption and wastewater production, underground water sources and water for oil and gas, opportunities for reuse of nontraditional source waters and contaminant valorization, and considerations for decentralization, resilience, and electrification. Quantitative understanding of these processes will be attained based on mass and energy balances, systems engineering, thermodynamics, and kinetics.",　,　,UnderPostgraduate course,United States,Yale University,2022,"6, 7, 9, 13",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://courses.yale.edu/?details&srcdb=202203&crn=12209,1311
F&ES 777 Water Quality Control,"Study of the preparation of water for domestic and other uses and the treatment of wastewater for recycling or discharge to the environment. Topics include processes for removal of organics and inorganics, regulation of dissolved oxygen, and techniques such as ion exchange, electrodialysis, reverse osmosis, activated carbon adsorption, and biological methods.",　,　,Postgraduate course,United States,Yale University,2019,"6, 14",Engineering and Related Technologies,"Electricity, gas, water and waste services",https://courses.yale.edu/?details&srcdb=201903&crn=13732,1312
"EHS 537 Water, Sanitation, and Global Health","Water is essential for life, and yet unsafe water poses threats to human health globally, from the poorest to the wealthiest countries. More than two billion people around the world lack access to clean, safe drinking water, hygiene, and sanitation (WASH). This course focuses on the role of water in human health from a public health perspective. The course provides a broad overview of the important relationships between water quality, human health, and the global burden of waterborne diseases. It discusses the basics of water compartments and the health effects from exposures to pathogenic microbes and toxic chemicals in drinking water. It also covers different sanitation solutions to improve water quality and disease prevention and discusses future challenges and the need for intervention strategies in the new millennium.",　,　,Postgraduate course,United States,Yale University,2021,"3, 6",Health,Health care and social assistance,https://courses.yale.edu/?details&srcdb=202103&crn=13979,1313
F&ES 724 Watershed Cycles and Processes,"Everyone lives in a watershed, an area of land that funnels rainfall and snowmelt to a stream, river, lake, or section of coastline. F&ES 724 examines watershed processes that affect, or are affected by, the stocks, flows, and quality of freshwater. It also surveys challenges faced by watershed managers, while emphasizing the science that informs their choices. By drawing from the fields of hydrology, ecology, and chemistry, the course begins by investigating cycles that govern the fates of water, nutrients, carbon, and pollutants within watersheds. This basic knowledge underpins watershed management decisions that are, for example, intended to safeguard drinking-water quality, ensure sustainable freshwater consumption, and preserve ecosystem services that depend on healthy riparian corridors.  In coordination with treatments of watershed functions, FES 724 explores the impacts of  anthropogenic stresses on freshwater flows, water quality, and the ecology of sensitive watershed ecosystems. The course also covers measurements, models, and other tools used in watershed assessment and case studies of science-based watershed planning and adaptive management.",　,　,Postgraduate course,United States,Yale University,2019,6,Engineering and Related Technologies,"Electricity, gas, water and waste services",https://courses.yale.edu/?details&srcdb=201903&crn=13722,1314
"F&ES 723 Wetlands Ecology, Conservation, and Management","Wetlands are ubiquitous. Collectively they cover 370,000 square miles in the United States and globally encompass more than five million square miles. Most points on a map are less than one kilometer from the nearest wetland. Yet wetlands are nearly invisible to most people. In this course we explore wetlands in all of their dimensions, including the critical services they provide to other systems, the rich biodiversity they harbor, and the links by which they connect to other systems. Additionally, wetlands are linchpin environments for scientific policy and regulation. The overarching aim of the course is to connect what we know about wetlands from a scientific perspective to the ways in which wetlands matter for people",　,　,Postgraduate course,United States,Yale University,2019,"14, 15",Natural and Physical Sciences,"Agriculture, forestry and fishing",https://courses.yale.edu/?details&srcdb=201903&crn=13721,1315
ER&M 401 Writer/Rioter: Public Writing in the 21st Century,"In his collection Lunch with A Bigot: The Writer in the World, Amitava Kumar asks “What divides the writer from the rioter?” This class is concerned with unpacking the various ways writers participate in the 21st century world as disturbers of the peace. This century has seen great advances in technology, health, alternative energies, new forms of communication, but also vast consolidations of power, mass incarceration, climate change, poverty, homelessness, wars, state surveillance, and sexual violence. Our current historical moment increasingly asks us to craft broader and deeper connections between personal, local, national, and international issues. This course explores cultural criticism on a range of issues that examine the intersections of history, politics, media, and various crises in the 21st century by writers from a variety of backgrounds: journalists, academics, activists, artists, scientists, and politicians. We analyze how these writers use their professional expertise to craft work for the public arena, and what it means to create a history of the present. The course’s four sections cover various responses to some of the issues most publicly contested across college campuses nationwide, and here at Yale: racial unrest, sexual assault, climate change, poverty, incarceration, fascism, and gun violence.",　,　,UnderPostgraduate course,United States,Yale University,2022,"1, 5, 10, 13, 16",Humanities and Law,Public administration and safety,https://courses.yale.edu/?details&srcdb=202203&crn=10769,1316
"ENGL 459 Writing about Science, Medicine, and the Environment","Advanced non-fiction workshop in which students write about science, medicine, and the environment for a broad public audience. Students read exemplary work, ranging from newspaper articles to book excerpts, to learn how to translate complex subjects into compelling prose.",　,　,UnderPostgraduate course,United States,Yale University,2022,3,Health,Health care and social assistance,https://courses.yale.edu/?details&srcdb=202201&crn=21299,1317
